who^title^topics
GW^Recount in Wisconsin county demanded by Trump increases Biden's margin^cou
GW^Biden names Jen Psaki White House press secretary along with an all-female senior communications staff^bid
GW^Memo to Biden: Go big — use the moment to not only rebuild but to rebuild differently^pub
GW^Wisconsin and Arizona make it official as Trump fails to stop vote certification in all six states where he contested his defeat^ele
GW^Arizona certifies Biden as winner over Trump team’s objections^ele
GW^Biden fractures his foot playing with dog^ank
GW^Fox News host Sean Hannity thinks Trump should “pardon his whole family and himself” on the way out^par
GW^Trump banking proposal on fossil fuels sparks backlash from libertarians^tru
GW^Wisconsin election recount confirms Biden’s win over Trump^cou
GW^Biden shortlist for White House key environmental post shows focus on environmental justice^bid
GW^Trump reportedly ousts top Pentagon official leading ISIS fight^tru
GW^What we should know about Biden's appointment of Kerry as climate czar | If we want livable futures for our children, we must constantly criticize and question those who are tasked with providing them.^bid
GW^At Least a Dozen Trump Political Appointees Approved for Civil Servant Positions^tru
GW^Trump considers 2024 campaign kick-off on Inauguration Day^tru
GW^‘Someone’s Going to Get Killed’: Georgia Election Official’s Emotional Plea to Trump, Loeffler, Perdue^pub
GW^President Donald Trump raises more than $170 million since Election Day as he pushes baseless fraud claims^ele
GW^White men swung to Biden. Trump made gains with black and Latino voters. Why?^ele
GW^EU looks forward to Biden resetting trans-Atlantic relations^bid
GW^Trump tells party guests if election challenge fails, ‘I’ll see you in four years’^tru
GW^Trump attacks GOP governors, retweets 'why bother voting for Republicans'^tru
GW^Ohio tea party leader urges Trump to suspend the Constitution, declare martial law to hold new vote^ele
GW^Analysis | Giuliani? Manafort? Himself? Here’s who a lame-duck Trump could pardon.^par
GW^Biden unveils Janet Yellen as Treasury nominee with vow to ‘deliver immediate economic relief’^bid
GW^White House vetting pardon requests as some push Trump to preemptively pardon family^par
GW^Fox Host Argues Trump Doesn’t Need Court Evidence To Steal Swing States From Biden^ele
GW^Biden will struggle to cut defense spending despite pressure^bid
GW^Trump expresses doubt on whether Supreme Court will hear election cases^ele
GW^Biden transition adds new members to coronavirus task force^cov
GW^Trump’s legacy is the plague of extreme lies. Truth-based media is the vaccine^cov
GW^Michigan Republican congressman asks Trump to drop election fraud conspiracy^ele
GW^If Biden didn't win, how is GA runoff a check on Dem White House? - CNN Video^bid
GW^Trump Tells Pompeo: Go Wild on Iran, Just Don’t Risk ‘World War III’^tru
GW^Attention Starved Trump May Start 2024 Campaign During Biden's Inauguration, Report Says^tru
GW^McConnell shrugs as Georgia Republicans excoriate Trump and Washington over bogus election claims^ele
GW^Climate change: Biden should establish a carbon price benchmark^bid
GW^Analysis: The 40 most utterly unhinged lines from Donald Trump's first post-election interview^tru
GW^Trump’s pardon shenanigans are ramping up^par
GW^Trump lawyer: ex-election security chief Krebs should be 'taken out and shot'^ele
GW^Trump lashes out at 60 Minutes in furious tweets over interview with fired elections official^ele
GW^Biden's lead increases in Wisconsin's largest county after recount demanded by Trump campaign^bid
GW^March for Trump Launches Bus Tour in Florida, Plans DC Event Just Before Electoral College Vote^tru
GW^Trump to FDA: Why is Europe beating us on vaccine?^tru
GW^Trump Jr releases Georgia ad amid fears Trumps are derailing Georgia hopes for Republicans^tru
GW^Georgia election official condemns Trump after threat to worker: Gabriel Sterling, an aide to Georgia's secretary of state, said Trump should "stop inspiring people to commit potential acts of violence."^ele
GW^Wisconsin formally declares Biden won election following recount^ele
GW^Trump’s science-skeptic advisor resigns as his election hopes narrow^ele
GW^Mary Trump to release second book on 'America's national trauma,' impact of uncle's 'corrupt and immoral policies'^pub
GW^Barr taps Durham as special counsel, pushing probe into Biden era^bid
GW^Twitter Has Flagged 200 of Trump’s Posts as ‘Disputed’ or Misleading Since Election Day. Does It Make a Difference?^ele
GW^Trump says DOJ 'missing in action' on alleged election fraud^ele
GW^Ford was right to pardon Nixon. Joe Biden should do Trump no such favors | Opinion^par
GW^Trump Biographer Hits President Where It Hurts: Can’t Even Succeed At Being A Loser^tru
GW^With Fox’s Maria Bartiromo as his first post-election interviewer, Trump found a sympathetic ear and few questions^tru
GW^U.S. Supreme Court weighs Trump bid to bar illegal immigrants from census totals^tru
GW^Arizona Certifies Biden’s Election Victory Over Trump^ele
GW^Trump rages against '60 Minutes' for interview with Krebs^tru
GW^Trump bilks $170 million from supporters to fund suits—but his PAC pockets most of the cash: report^tru
GW^First Black American Cardinal said he hopes to begin on "positive" note with Biden after contentious relationship with Trump^bid
GW^Dane County completes presidential election recount: 91 vote reduction for Biden, 46 vote reduction for Trump | Local News^cou
GW^Yellen to Forge Economic Comeback as Biden’s Treasury Pick^bid
GW^Why did the Florida Latino community swing to Trump? It’s complicated.^ele
GW^After impassioned plea in Georgia, Trump makes things worse^tru
GW^Watch a Top Georgia Election Official Get Emotional Calling Out Trump’s Election Incitement^ele
GW^Trump campaign caught sharing fake newspaper cover on election result^tru
GW^Rudy Giuliani, who has not been charged with a crime, discussed preemptive pardon with Trump: report. While Giuliani's specific legal exposure is unknown, he is a subject in at least two recent federal investigations^par
GW^Trump Reportedly Considering Pardons For 3 Of His Children And Rudy Giuliani^par
GW^Supreme Court reviews Trump effort to change census data on immigrants^tru
GW^The Supreme Court Wants to Revive a Doctrine That Would Paralyze Biden’s Administration^bid
GW^Joe Biden expected to name Cindy McCain as ambassador to UK^bid
GW^Trump still in denial about defeat as legal team mounts last-ditch challenges^tru
GW^Trump Allies Ask High Court to Nullify Biden’s Pennsylvania Win^ele
GW^Cyber Security Chief Trump Fired Rejects Election Meddling Claims: 'The Proof Is in the Ballots'^tru
GW^Trump Nears ‘Checkmate’ Stage in Last-Gasp Bid to Undo Election^ele
GW^Trump to restart foreign deals, breaking a post-presidency norm - A return to overseas dealmaking raises new ethical issues no ex-president has ever confronted. Trump’s sprawling global company is private and increasingly reliant on foreign lenders.^tru
GW^Trump to boycott Biden’s inauguration and won’t even invite him for White House visit - report^tru
GW^Conservative justices signal willingness to let Trump proceed with immigrant census plan for now^tru
GW^Political fight brewing over Biden's WH budget chief nominee^bid
GW^Andrew Weissman: Trump’s pardon of Flynn is ‘another nail in the coffin’ for the rule of law^par
GW^Trump sues to reverse Biden win in Wisconsin^tru
GW^Donald Trump's biographer says he "cannot even succeed at being a loser"^tru
GW^Biden legal team says Trump lawsuits will not change Georgia outcome^ele
GW^This is propaganda': Fox News' Maria Bartiromo slammed for 'softball' Trump interview^pub
GW^Talk of self-pardon for Trump heats up^par
GW^Biden breaks foot while playing with dog, to wear a boot^ank
GW^Trump Is Milking His Donors For All They’re Worth Before He Leaves Office^tru
GW^‘They can know that there are things coming’: Former cybersecurity chief hints at legal action against Trump campaign attorney - “The way I look at it is that we’re a nation of laws, and I plan to take advantage of those laws,” said Christopher Krebs.^tru
GW^Congress is briefly reconvening, under pressure from Trump and Biden to pass a COVID-19 stimulus bill after months of gridlock^cov
GW^The Revolving Door: Biden's National Security Nominees Cashed In on Government Service—and Now They're Back - Top Biden advisers Tony Blinken, Michele Flournoy, and Lloyd Austin face new scrutiny.^bid
GW^Trump Suggests FBI and Justice Department Led By His Own Appointees May Be 'Involved' With Rigging Election Against Him^tru
GW^What the Trump family’s new political committees can and can’t do^pub
GW^Supreme Court to hear arguments on Trump administration's attempt to exclude undocumented immigrants from census^tru
GW^Trump tweets legal advice from Diamond and Silk to support voter fraud allegations^ele
GW^Trump says his election challenges probably won't make it to the Supreme Court^ele
GW^Trump Calls Fox News 'Virtually Unwatchable,' Points Followers to OANN and Newsmax^tru
GW^Let Trump try to defend racist, traitorous Confederates. Congress can still prevail.^tru
GW^Just As #DiaperDon Starts Trending, Trump Claims That Twitter Uses 'Fake' Trends, Calls For 'Termination' Of Section 230^ele
GW^Video shows Arizona governor ignoring 'Hail to the Chief' call while certifying Biden victory^bid
GW^Trump vows defense bill veto unless internet liability shield scrapped^tru
GW^Report: Gov. Michelle Lujan Grisham is a 'top contender' for Biden's health secretary^bid
GW^Biden to name economic team this week, with three women in top roles to help build recovery^bid
GW^Trump campaign lawyer: Krebs should be 'shot' for rejecting president's election claims^ele
GW^Biden’s picks for his economic team showcase a focus on workers.^bid
GW^Take a Look at What Trump Was Doing as Thousands Died of COVID-19^cov
GW^Forget about "moving on" from Trump — the nation can't heal without accountability^pub
GW^Sean Hannity Says Trump 'Needs To Pardon' Himself And His 'Whole Family'^par
GW^Trump sues to try to reverse Wisconsin's election results^ele
GW^Georgia secretary of state: Trump, supporters' emotions being exploited with 'fantastic claims, half-truths, misinformation'^ele
GW^Biden expected to nominate Janet Yellen for treasury secretary^bid
GW^Trump Lawyer Says Fired Cybersecurity Chief Should Be 'Shot' For Defending Election^ele
GW^A witness in Trump ally Sidney Powell's lawsuits says the voting results in 'Edison County' indicate fraud. No such place exists.^ele
GW^Killing of suspected Iranian nuclear mastermind risks confrontation as Trump exits^tru
GW^Donald Trump's refusal to accept defeat fuels violent threats on social media^tru
GW^Federal judge blocks Trump curbs on high-skilled worker visa program^tru
GW^Supreme Court hears arguments in Trump plan to cut undocumented immigrants from Census^tru
GW^Joe Biden’s Neera Tanden Pick Is Even Worse Than You Thought^bid
GW^Biden's decision to pick Neera Tanden for a top economic role exposes an ongoing rift with Bernie Sanders-allied progressives^bid
GW^For Trump advocate Sidney Powell, a playbook steeped in conspiracy theories^tru
GW^Trump campaign’s election lawsuits risk undermining U.S. democracy, say Canadian Supreme Court’s retired judges^tru
GW^Georgia election official implores Trump to stop fraud rhetoric, fears 'someone's going to get hurt'^ele
GW^Trump's overinflated macho persona could spark international problems in the waning days of his presidency.^tru
GW^Trump spent $3 million on a Wisconsin recount which has boosted Biden’s total vote^tru
GW^Kayleigh McEnany’s peculiar complaint about coverage of Biden’s all-female press team^bid
GW^Trump Attacks Republican Georgia Governor, Urges Him to 'Use His Emergency Powers'^tru
GW^Top secret: Biden gets access to President's Daily Brief^bid
GW^Why Joe Biden's broken foot reveals how different his White House will be from Donald Trump's^ank
GW^Trump campaign challenges election results in Wisconsin Supreme Court^ele
GW^Who is Lloyd J. Austin? Biden considers Mobile native for top Pentagon slot^bid
GW^How a Rahm Emanuel Appointment Would Hurt Biden and the Democrats^bid
GW^Georgia governor rejects Trump's call to 'overrule' elections officials with emergency powers^tru
GW^Biden's national coronavirus strategy is starting to take shape - and it's very different than Trump's^cov
GW^Former security officials warn Donald Trump won't keep state secrets^tru
GW^Don't be fooled: Trump's conspiracy theories won't discourage Georgia Republicans. Republican voters aren't fooled by Trump's lies about "rigged" elections — they think they're in on the con^tru
GW^FCC Chairman Ajit Pai will step down to make way for the Biden administration^bid
GW^Lame-Duck Trump Makes Legal Moves to Fire Federal Employees in Possible Attempt to Sabotage Biden Admin..^tru
GW^Trump's 2024 begins^tru
GW^New Consensus co-founder discusses proposal for Biden to use Fed to sidestep Congress^bid
GW^Supreme Court seems skeptical of Trump’s census plan^tru
GW^Wisconsin recount confirms Biden’s win over Trump, cementing the president’s failure to change the election results^cou
GW^Trump should extend student loan payment freeze — Millions of Americans are set to resume making student loan payments on New Year’s Day.^tru
GW^Jennifer Psaki to Be Press Secretary as Biden Names All-Female Communications Team^bid
