content	tweet_id	publish_date	trump_mention	retweet
While Hillary is signing books at Costco in the dairy aisle Trump is giving speeches at the UN https://t.co/K4wYpDkTXZ	909917989474009088	9/18/2017 23:12	T	0
"'@ChaVonZee16 CNN: ""..conversations with Trump included.""  Details matter!'"	909924050960621573	9/18/2017 23:36	T	0
'@ChaVonZee16 Also Paul Manafort lived at Trump Tower!'	909924763203723269	9/18/2017 23:39	T	0
BOOM: Second Wiretap on Manafort could have been illegal b/c they obtained FISA request based on FAKE TRUMP DOSSIER that FBI payed 100K for! https://t.co/DeGadGnM91	909930870429175808	9/19/2017 0:03	T	1
The fact that Obama was wiretapping Trump Tower 24/7 and couldn't find any dirt proves we picked the right man.  #Manafort	909945996276322304	9/19/2017 1:03	T	0
Amazing photo of President Trump addressing the United Nations https://t.co/qKZpOjvH3D	910286917018800128	9/19/2017 23:38	T	0
The fact that Obama was wiretapping Trump Tower 24/7 and couldn't find any dirt proves we picked the right man.  #Manafort	910298518857879553	9/20/2017 0:24	T	1
"""When President Trump touched those ancient stones, he touched our hearts forever."" ~ @netanyahu   Tell me again how Trump is Anti Semitic https://t.co/LwtTRUI75i"	910582908691390466	9/20/2017 19:14	T	0
If Melania Trump was a liberal Democrat, she'd be on the cover of every magazine and hailed for her grace, style, and beauty. https://t.co/bhQEI3cFXh	910584125752520706	9/20/2017 19:19	T	0
"Floyd Mayweather defends Trump: ""You never heard anything about Donald Trump being racist until he ran for president and won."" https://t.co/92Zo7Kv1WD"	910315830872862721	9/20/2017 1:33	T	0
"Trump: I was ""wire tapped""  CNN: Haha. That idiot @realDonaldTrump thinks he was wiretapped. ..Six months later.. CNN: Trump was wiretapped"	910320634114248706	9/20/2017 1:52	T	1
If Melania Trump was a liberal Democrat, she'd be on the cover of every magazine and hailed for her grace, style, and beauty. https://t.co/bhQEI3cFXh	910636303615709184	9/20/2017 22:46	T	1
'@realDonaldTrump Going from Obama to Trump is like going from a lurker van into a limousine.'	910331246621929473	9/20/2017 2:34	T	0
"Floyd Mayweather defends Trump: ""You never heard anything about Donald Trump being racist until he ran for president and won."" https://t.co/92Zo7Kv1WD"	910334913085394944	9/20/2017 2:48	T	1
'@realDonaldTrump People who hate on our President are accomplishing nothing while Trump, himself, is actually making a great difference for the country!'	910339045011738624	9/20/2017 3:05	T	0
"""I thought Trump's speech was a tour de force. Of course the left is not going to like it."" ~ @larryelder https://t.co/Pyjv2EBMQi"	910352804023296006	9/20/2017 3:59	T	0
Top GOP official Ed Rollins says Trump's White House Chief of Staff John Kelly voted for Hillary Clinton https://t.co/KD3tOBQwww	910672210905456640	9/21/2017 1:09	T	0
A Maine woman says that she would rather go to jail than take down her signs in support of President Trump. https://t.co/cirSCAZuUM	910969778587742208	9/21/2017 20:51	T	1
A Maine woman says that she would rather go to jail than take down her signs in support of President Trump. https://t.co/cirSCAZuUM	910696698581782528	9/21/2017 2:46	T	0
Rocket Man tries to compete with Trump at his game. Lil' Kim fails miserably. #dotard	911034671131217921	9/22/2017 1:09	T	0
Melania Trump spent first day of fall harvesting crops with kids at the White House garden.   RT if you love our First Lady ❤️❤️ https://t.co/w87eGaBBJj	911334506652676096	9/22/2017 21:00	T	0
Crowd filling in at Trump Rally Huntsville https://t.co/WgygQ25ot2	911358333172535296	9/22/2017 22:35	T	1
"Crowd: ""Lock her up! Lock her up!""   Trump: ""You've got to talk to Jeff Sessions about that."""	911387163488595968	9/23/2017 0:30	T	0
"Crowd: ""Lock her up! Lock her up!""   Trump: ""You've got to talk to Jeff Sessions about that.""  Priceless!! https://t.co/bh2fWWta6x"	911387416765886464	9/23/2017 0:31	T	0
"President Trump: ""In America, we don't worship government. We worship God."""	911393919971229696	9/23/2017 0:56	T	0
"President Trump, referencing #ColinKaepernick: ""Get that son of a bitch off the field."" 👍👍 https://t.co/xqFvJrnZEG"	911396415460581376	9/23/2017 1:06	T	0
"""We want more products proudly stamped with those four beautiful words: made in the USA."" ~ President Trump  https://t.co/BbdDKDdb0k"	913135809720659970	9/27/2017 20:18	T	0
Same author, 6 days apart. His views only changed because he wanted to attack Trump. This is “journalism” at #FakeNews CNN. https://t.co/teIiMWr35i	913184489500741632	9/27/2017 23:32	T	1
Amazing. We’ve gone from “Trump is Putin's puppet” to “some Russians bought Facebook ads”	913193082056781824	9/28/2017 0:06	T	0
We’ve gone from “Trump is Putin's puppet” to “some Russians bought Facebook ads for Black Lives Matter.”   Amazing.	913193572949725184	9/28/2017 0:08	T	0
"President Trump: ""You cannot have people disrespecting our National Anthem, our flag, and our country. The NFL has to change."" https://t.co/VfzqXmri22"	913207972645437441	9/28/2017 1:05	T	0
CNN's Ana Navarro  is spreading a photoshopped picture of Lebron James to fan the flames of anti Trump hate!  #CNNisFakeNews https://t.co/4Bq1dNVP3s	913210359304957952	9/28/2017 1:14	T	1
Melania Trump on Dr. Seuss: 'To turn the gesture of sending young students some books into something divisive is unfortunate.' Spot on!	913829595824214016	9/29/2017 18:15	T	0
CNN has zero integrity. They'll say anything as long as it contradicts Trump. https://t.co/yuhWh2KJZx	913606704750895105	9/29/2017 3:29	T	0
"A great thread to fully understand the situation in PR and how MSM creates ""Trump doing nothing"" narrative. https://t.co/lkSMQqmd1t"	914278023423078400	9/30/2017 23:57	T	1
